place_name,latitude,longitude,road_rating,crime_rating,accident_rating
NH10 (Sevoke-Kalimpong Split),26.76,88.468,5,3,7
NH10 (Teesta Bridge),26.78,88.46,4,2,7
Kalimpong (Town Center),27.066,88.471,5,3,4
Kalimpong (Main Market / 10th Mile),27.067,88.472,5,3,4
Kalimpong (Durpin Dara),27.062,88.465,4,2,4
Kalimpong (Deolo Hill),27.065,88.48,4,2,4
Kalimpong (Arts & Crafts),27.068,88.475,5,3,3
Lava,27.09,88.67,3,1,5
Lolegaon,27.05,88.58,3,1,5
Rishop,27.07,88.66,3,1,5
NH31 (Bagdogra–Siliguri),26.695,88.35,7,3,7
NH31 (Matigara Section),26.68,88.39,6,4,7
NH31 (Islampur Direction),26.67,88.35,6,4,6
NH31 (Phansidewa),26.63,88.32,5,4,6
NH31 (Naxalbari Approach),26.66,88.25,5,4,6
Ghoom – Tiger Hill Road,27.018,88.275,4,2,5
Ghoom – Sukhiapokhri Road,27.016,88.25,3,2,6
Rangbull,27.01,88.27,3,2,5
Pokhriabong,27.005,88.25,3,2,5
Palmajua,26.99,88.255,3,2,5
Maneybhanjang – Sandakphu Jeep Rd,26.97,88.205,2,1,8
Tumling,26.968,88.2,2,1,7
Tonglu Trek Route,26.98,88.208,2,1,7
Singalila Ridge (Lower Point),26.96,88.195,2,1,7
New Jalpaiguri (NJP) Bypass,26.69,88.38,6,3,6
Kadamtala (Siliguri),26.705,88.41,5,4,5
Burdwan Road (Siliguri),26.71,88.44,5,4,5
Milanpally,26.725,88.425,5,3,4
Uttorayan Township,26.718,88.395,7,3,4
Kawakhali,26.715,88.43,5,4,5
Phulbari,26.66,88.35,4,4,5
Khaprail,26.71,88.375,5,4,5
Mall Road (Siliguri),26.716,88.42,6,4,5
Ashighar More,26.7,88.41,5,4,6
Hashimara Entry Point,26.63,88.52,5,3,5
