tourist_id,segment_order,from_poi,to_poi,point_order,latitude,longitude,transport_mode
T001,1,Tiger Hill,Ghoom Monastery,148,27.018556,88.259073,walk
T001,1,Tiger Hill,Ghoom Monastery,149,27.018635,88.259037,walk
T001,1,Tiger Hill,Ghoom Monastery,150,27.018715,88.258992,walk
T001,1,Tiger Hill,Ghoom Monastery,151,27.0188,88.258975,walk
T001,1,Tiger Hill,Ghoom Monastery,152,27.018936,88.259021,walk
T001,1,Tiger Hill,Ghoom Monastery,153,27.019109,88.259094,walk
T001,1,Tiger Hill,Ghoom Monastery,154,27.01921,88.259187,walk
T001,1,Tiger Hill,Ghoom Monastery,155,27.019298,88.259227,walk
T001,1,Tiger Hill,Ghoom Monastery,156,27.019472,88.259231,walk
T001,1,Tiger Hill,Ghoom Monastery,157,27.019606,88.259254,walk
T001,1,Tiger Hill,Ghoom Monastery,158,27.019715,88.259219,walk
T001,1,Tiger Hill,Ghoom Monastery,159,27.019889,88.259138,walk
T001,1,Tiger Hill,Ghoom Monastery,160,27.019992,88.259135,walk
T001,1,Tiger Hill,Ghoom Monastery,161,27.020101,88.259175,walk
T001,1,Tiger Hill,Ghoom Monastery,162,27.020182,88.259139,walk
T001,1,Tiger Hill,Ghoom Monastery,163,27.020262,88.259149,walk
T001,1,Tiger Hill,Ghoom Monastery,164,27.020305,88.259204,walk
T001,1,Tiger Hill,Ghoom Monastery,165,27.020354,88.259273,walk
T001,1,Tiger Hill,Ghoom Monastery,166,27.020515,88.259411,walk
T001,1,Tiger Hill,Ghoom Monastery,167,27.020674,88.259515,walk
T001,1,Tiger Hill,Ghoom Monastery,168,27.020734,88.259526,walk
T001,1,Tiger Hill,Ghoom Monastery,169,27.020957,88.259501,walk
T001,1,Tiger Hill,Ghoom Monastery,170,27.021076,88.259518,walk
T001,1,Tiger Hill,Ghoom Monastery,171,27.021157,88.259572,walk
T001,1,Tiger Hill,Ghoom Monastery,172,27.021231,88.259639,walk
T001,1,Tiger Hill,Ghoom Monastery,173,27.021289,88.25974,walk
T001,1,Tiger Hill,Ghoom Monastery,174,27.021354,88.259936,walk
T001,1,Tiger Hill,Ghoom Monastery,175,27.021415,88.260126,walk
T001,2,Ghoom Monastery,Batasia Loop,0,27.021415,88.260126,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,1,27.021354,88.259936,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,2,27.021289,88.25974,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,3,27.021231,88.259639,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,4,27.021157,88.259572,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,5,27.021076,88.259518,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,6,27.020957,88.259501,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,7,27.020734,88.259526,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,8,27.020674,88.259515,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,9,27.020515,88.259411,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,10,27.020354,88.259273,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,11,27.020305,88.259204,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,12,27.020262,88.259149,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,13,27.020182,88.259139,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,14,27.020101,88.259175,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,15,27.019992,88.259135,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,16,27.019889,88.259138,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,17,27.019715,88.259219,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,18,27.019606,88.259254,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,19,27.019472,88.259231,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,20,27.019298,88.259227,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,21,27.01921,88.259187,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,22,27.019109,88.259094,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,23,27.018936,88.259021,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,24,27.0188,88.258975,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,25,27.018715,88.258992,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,26,27.018635,88.259037,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,27,27.018556,88.259073,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,28,27.018463,88.259084,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,29,27.018358,88.259085,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,30,27.01821,88.259134,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,31,27.018124,88.259165,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,32,27.017995,88.259156,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,33,27.017887,88.259127,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,34,27.017849,88.25907,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,35,27.017817,88.25891,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,36,27.017788,88.258861,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,37,27.017718,88.25884,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,38,27.017646,88.258847,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,39,27.017599,88.258888,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,40,27.017498,88.258993,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,41,27.017409,88.259016,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,42,27.017291,88.258992,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,43,27.017214,88.258955,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,44,27.017155,88.258911,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,45,27.017108,88.258805,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,46,27.017041,88.258727,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,47,27.016847,88.258629,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,48,27.016798,88.258559,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,49,27.016777,88.258438,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,50,27.016764,88.258344,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,51,27.016712,88.258296,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,52,27.016655,88.258306,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,53,27.016593,88.25843,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,54,27.016444,88.25849,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,55,27.01638,88.258554,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,56,27.016265,88.258587,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,57,27.016156,88.25859,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,58,27.01608,88.258567,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,59,27.016044,88.258509,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,60,27.015988,88.25835,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,61,27.015968,88.258146,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,62,27.015934,88.257983,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,63,27.015874,88.257943,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,64,27.015802,88.257978,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,65,27.01516,88.258328,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,66,27.015081,88.258369,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,67,27.015016,88.258373,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,68,27.014926,88.258318,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,69,27.014862,88.258296,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,70,27.01468,88.258289,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,71,27.014536,88.258257,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,72,27.014417,88.258195,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,73,27.014381,88.258124,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,74,27.014369,88.258038,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,75,27.014366,88.257755,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,76,27.014329,88.257713,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,77,27.014243,88.257689,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,78,27.014134,88.257678,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,79,27.014031,88.257713,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,80,27.013964,88.257762,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,81,27.013913,88.2578,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,82,27.013804,88.25784,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,83,27.013724,88.257843,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,84,27.013672,88.257821,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,85,27.013641,88.257767,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,86,27.013628,88.257708,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,87,27.013627,88.257636,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,88,27.013679,88.257713,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,89,27.013732,88.257764,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,90,27.013859,88.257767,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,91,27.014045,88.257649,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,92,27.014194,88.257607,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,93,27.014317,88.257625,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,94,27.014429,88.257678,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,95,27.014444,88.257897,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,96,27.014495,88.258066,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,97,27.014687,88.258106,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,98,27.015088,88.258112,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,99,27.015782,88.257593,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,100,27.015841,88.257583,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,101,27.016041,88.257704,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,102,27.016123,88.257793,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,103,27.01623,88.257854,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,104,27.016254,88.257986,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,105,27.016288,88.258069,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,106,27.016338,88.25809,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,107,27.016402,88.258039,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,108,27.016457,88.257975,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,109,27.016584,88.257785,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,110,27.016634,88.257728,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,111,27.016703,88.257736,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,112,27.016792,88.257932,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,113,27.017096,88.258145,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,114,27.018211,88.258181,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,115,27.018445,88.258243,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,116,27.018959,88.258251,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,117,27.019446,88.258294,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,118,27.019714,88.258388,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,119,27.02002,88.258356,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,120,27.020836,88.25836,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,121,27.021316,88.258472,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,122,27.021749,88.258655,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,123,27.022131,88.258923,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,124,27.022437,88.258864,shared_jeep
T001,2,Ghoom Monastery,Batasia Loop,125,27.022603,88.258949,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,0,27.022603,88.258949,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,1,27.022603,88.258949,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,2,27.022778,88.25917,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,3,27.022991,88.25925,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,4,27.023315,88.259155,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,5,27.023529,88.259183,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,6,27.023774,88.259214,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,7,27.0242,88.25958,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,8,27.024541,88.259871,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,9,27.024702,88.260009,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,10,27.024905,88.259931,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,11,27.02512,88.259998,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,12,27.025328,88.260119,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,13,27.025704,88.260445,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,14,27.025797,88.260579,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,15,27.025824,88.260807,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,16,27.025809,88.260928,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,17,27.025938,88.261129,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,18,27.026526,88.261263,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,19,27.02687,88.26162,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,20,27.027137,88.261573,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,21,27.027589,88.261749,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,22,27.027788,88.261778,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,23,27.027974,88.26177,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,24,27.028139,88.261733,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,25,27.028787,88.261891,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,26,27.028992,88.26227,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,27,27.029105,88.262506,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,28,27.029406,88.262634,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,29,27.029888,88.262777,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,30,27.030369,88.263075,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,31,27.030481,88.263301,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,32,27.030679,88.263625,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,33,27.030824,88.26362,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,34,27.030949,88.263408,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,35,27.0313,88.263097,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,36,27.031867,88.262956,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,37,27.032335,88.262948,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,38,27.032715,88.262967,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,39,27.033147,88.263087,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,40,27.033513,88.263232,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,41,27.033912,88.263297,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,42,27.034309,88.263258,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,43,27.034558,88.263298,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,44,27.034773,88.263292,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,45,27.034955,88.263347,shared_jeep
T001,3,Batasia Loop,Tenzing Rock,46,27.035248,88.263619,shared_jeep
